"timestamp_per_hour","host_name","avg_cpu_idle_pct"
"2020-12-03 01:00","srvmtszrh040.mts.pri","6.564"
"2020-12-03 02:00","srvmtszrh042.mts.pri","13.332"
"2020-12-03 02:00","srvmtszrh040.mts.pri","6.065"
"2020-12-03 03:00","srvmtszrh042.mts.pri","13.138"
"2020-12-03 03:00","srvmtszrh040.mts.pri","3.843"
"2020-12-03 04:00","srvmtszrh042.mts.pri","14.307"
"2020-12-03 04:00","srvmtszrh040.mts.pri","7.581"
"2020-12-03 05:00","srvmtszrh042.mts.pri","14.52"
"2020-12-03 05:00","srvmtszrh040.mts.pri","4.491"
"2020-12-03 06:00","srvmtszrh042.mts.pri","15.365"
"2020-12-03 06:00","srvmtszrh040.mts.pri","8.127"
"2020-12-03 07:00","srvmtszrh042.mts.pri","15.745"
"2020-12-03 07:00","srvmtszrh040.mts.pri","10.948"
"2020-12-03 08:00","srvmtszrh042.mts.pri","15.659"
"2020-12-03 08:00","srvmtszrh040.mts.pri","10.361"
"2020-12-03 09:00","srvmtszrh042.mts.pri","13.781"
"2020-12-03 09:00","srvmtszrh040.mts.pri","4.633"
"2020-12-03 10:00","srvmtszrh042.mts.pri","13.611"
"2020-12-03 10:00","srvmtszrh040.mts.pri","4.037"
"2020-12-03 11:00","srvmtszrh042.mts.pri","11.43"
"2020-12-03 11:00","srvmtszrh040.mts.pri","5.733"
"2020-12-03 12:00","srvmtszrh042.mts.pri","6.854"
"2020-12-03 12:00","srvmtszrh040.mts.pri","4.541"
"2020-12-03 13:00","srvmtszrh042.mts.pri","6.703"
"2020-12-03 13:00","srvmtszrh040.mts.pri","5.438"
"2020-12-03 14:00","srvmtszrh042.mts.pri","10.829"
"2020-12-03 14:00","srvmtszrh040.mts.pri","5.775"
"2020-12-03 15:00","srvmtszrh042.mts.pri","13.509"
"2020-12-03 15:00","srvmtszrh040.mts.pri","3.712"
"2020-12-03 16:00","srvmtszrh042.mts.pri","14.227"
"2020-12-03 16:00","srvmtszrh040.mts.pri","5.792"
"2020-12-03 17:00","srvmtszrh042.mts.pri","13.78"
"2020-12-03 17:00","srvmtszrh040.mts.pri","6.152"
"2020-12-03 18:00","srvmtszrh042.mts.pri","14.334"
"2020-12-03 18:00","srvmtszrh040.mts.pri","5.95"
"2020-12-03 19:00","srvmtszrh042.mts.pri","16.159"
"2020-12-03 19:00","srvmtszrh040.mts.pri","6.208"
"2020-12-03 20:00","srvmtszrh042.mts.pri","15.762"
"2020-12-03 20:00","srvmtszrh040.mts.pri","5.766"
"2020-12-03 21:00","srvmtszrh042.mts.pri","14.561"
"2020-12-03 21:00","srvmtszrh040.mts.pri","5.814"
"2020-12-03 22:00","srvmtszrh042.mts.pri","15.819"
"2020-12-03 22:00","srvmtszrh040.mts.pri","8.094"
"2020-12-03 23:00","srvmtszrh042.mts.pri","16.231"
"2020-12-03 23:00","srvmtszrh040.mts.pri","6.834"
"2020-12-04 00:00","srvmtszrh042.mts.pri","15.407"
"2020-12-04 00:00","srvmtszrh040.mts.pri","7.268"
"2020-12-04 01:00","srvmtszrh042.mts.pri","15.483"
"2020-12-04 01:00","srvmtszrh040.mts.pri","6.779"
"2020-12-04 02:00","srvmtszrh042.mts.pri","13.739"
"2020-12-04 02:00","srvmtszrh040.mts.pri","6.643"
"2020-12-04 03:00","srvmtszrh042.mts.pri","13.924"
"2020-12-04 03:00","srvmtszrh040.mts.pri","5.901"
"2020-12-04 04:00","srvmtszrh042.mts.pri","16.484"
"2020-12-04 04:00","srvmtszrh040.mts.pri","7.502"
"2020-12-04 05:00","srvmtszrh042.mts.pri","15.955"
"2020-12-04 05:00","srvmtszrh040.mts.pri","4.925"
"2020-12-04 06:00","srvmtszrh042.mts.pri","16.606"
"2020-12-04 06:00","srvmtszrh040.mts.pri","10.244"
"2020-12-04 07:00","srvmtszrh042.mts.pri","16.836"
"2020-12-04 07:00","srvmtszrh040.mts.pri","12.961"
"2020-12-04 08:00","srvmtszrh042.mts.pri","16.697"
"2020-12-04 08:00","srvmtszrh040.mts.pri","13.234"
"2020-12-04 09:00","srvmtszrh042.mts.pri","16.777"
"2020-12-04 09:00","srvmtszrh040.mts.pri","6.256"
"2020-12-04 10:00","srvmtszrh042.mts.pri","10.86"
"2020-12-04 10:00","srvmtszrh040.mts.pri","10.674"
"2020-12-04 11:00","srvmtszrh040.mts.pri","12.171"
"2020-12-04 11:00","srvmtszrh042.mts.pri","8.148"
"2020-12-04 12:00","srvmtszrh040.mts.pri","9.634"
"2020-12-04 12:00","srvmtszrh042.mts.pri","5.141"
"2020-12-04 13:00","srvmtszrh040.mts.pri","12.868"
"2020-12-04 13:00","srvmtszrh042.mts.pri","7.842"
"2020-12-04 14:00","srvmtszrh040.mts.pri","13.686"
"2020-12-04 14:00","srvmtszrh042.mts.pri","8.216"
"2020-12-04 15:00","srvmtszrh040.mts.pri","13.87"
"2020-12-04 15:00","srvmtszrh042.mts.pri","8.096"
"2020-12-04 16:00","srvmtszrh040.mts.pri","13.24"
"2020-12-04 16:00","srvmtszrh042.mts.pri","9.257"
"2020-12-04 17:00","srvmtszrh040.mts.pri","13.696"
"2020-12-04 17:00","srvmtszrh042.mts.pri","8.165"
"2020-12-04 18:00","srvmtszrh040.mts.pri","12.98"
"2020-12-04 18:00","srvmtszrh042.mts.pri","9.424"
